ACO_Num,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Initial_Track_1,Initial_Track_2,Initial_Track_3,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Adv_Pay,AIM,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,Met_QPS,QualScore,Prior_Sav_Adj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO8,ACO35,ACO36,ACO37,ACO38,ACO9,ACO10,ACO11,ACO39,ACO13,ACO14,ACO15,ACO16,ACO17,ACO18,ACO19,ACO20,ACO21,ACO42,ACO40,DM_Comp,ACO27,ACO41,ACO28,ACO30,ACO31,ACO33
A67373,"Palm Beach Accountable Care Organization, LLC",Florida,Renewal,2,07/01/2012,1,0,0,01/01/2016,1,0,0,0,0,51150,0.09405282,0.021769977,62751855,62751855,30540508,1,0.9932,422,13356,13352,667198021,604446165,,,0.5,0.4966,89520,13065,20651,11542,81990,12741,20113,11145,85010,12967,17963,10992,79171,11922,17058,11149,12099,1.084,1.27,1.122,1.217,1.086,1.235,1.095,1.228,1.078,1.261,1.139,1.231,1.039,1.244,1.141,1.231,371,3114,3761,43063,49957,352,2958,3596,43051,4362,20953,16741,9094,29670,21480,44999,2574,263,1978,20,1316,3036,2686,93,224,56,249,785,0,1665,5369,109,899,241,318,297,3,12,7,11,13,8,170,824,73,648,242,869,439,14765,5592,8443,714,16,0,0,0,0,0,206,232,69,0,0,82.63,92.47,90.96,84.2,65.79,75.98,72.16,32.51,14.93,17.71,52.36,69.19,52.93,12.83,15.22,85.71,98.8,87.54,92.19,85.49,91.91,98.3,84.76,87.94,89.74,98.56,91.52,8.33,74.9,10.65,80.99,84.92,90.94,100,95.81
A38665,CCACO,"New York, New Jersey",Renewal,2,04/01/2012,1,0,0,01/01/2016,1,0,0,0,0,9896,0.069573043,0.030103103,6391148,6391148,2797831,1,0.8934,190,9516,9686,91862414,85471266,,,0.5,0.4467,73589,9254,8498,6516,75474,10127,8721,6915,69031,9828,8147,6136,72003,8694,8112,6227,8854,0.973,1.078,0.833,0.979,0.93,1.152,0.82,0.989,0.976,1.159,0.843,0.954,0.949,1.088,0.823,0.907,147,658,7511,1511,9654,157,577,7216,1705,874,3666,3619,1737,5944,3952,497,163,7682,77,2,1475,2269,2134,21,75,44,86,626,0,1263,4216,65,314,165,179,172,0,3,2,6,3,5,163,848,32,295,154,539,328,14777,8712,5853,179,32,0,0,0,0,0,91,176,11,1,0,75.9,88.18,86.72,80.03,55.87,68.05,66.28,17.39,14.78,18.2,47.91,59.25,39.35,3.14,15.17,90.16,78.48,69.59,77.68,62.17,93.75,98.03,62.39,59.77,49.84,96.24,73.67,0,38.43,11.29,41.89,77.43,81.82,97.03,77.61
A76261,Hackensack Alliance ACO,"New Jersey, New York",Renewal,2,04/01/2012,1,0,0,01/01/2016,1,0,0,0,0,29546,0.125987478,0.024045368,50511463,50511463,22835022,1,0.9226,242,13917,13791,400924471,350413008,,,0.5,0.4613,126723,14045,23701,12309,127680,13975,19663,12073,96483,12549,17858,11325,95022,13013,16555,10917,12163,1.115,1.093,1.145,1.118,1.117,1.169,1.126,1.15,1.104,1.131,1.064,1.102,1.015,1.149,1.044,1.107,204,1973,2319,24115,28809,235,1913,2153,24508,2712,13128,8738,4968,17466,12080,24590,1851,682,1075,14,1334,3567,3224,78,209,102,204,1332,0,2341,4267,89,563,195,298,278,2,10,8,10,8,6,173,838,95,584,229,795,307,12078,4026,7411,638,3,0,0,0,0,4,328,422,129,1,2,81.73,94.24,92.68,82.73,56.73,76.57,70.85,27.09,15.27,18.93,52.07,73.44,60.14,10.22,12.6,95.41,96.94,54.25,78.51,73.39,83.47,95.97,56.28,66.94,68.15,84.21,86.86,3.85,41.94,12.5,43.55,71.77,85.08,82.45,87.96
A38596,NH Accountable Care Partners,"New Hampshire, Maine, Massachusetts",Renewal,2,07/01/2012,1,0,0,01/01/2016,1,0,0,0,0,46616,0.01302615,0.022338311,6188979,0,0,1,0.9559,0,10460,10484,475119582,468930603,,,0.5,0.4779,87058,9468,17059,9293,84238,9582,17389,9620,86152,10388,18567,9555,85961,10438,17387,9517,10324,1.048,1.032,1.09,1.042,1.058,1.045,1.092,1.052,1.051,1.066,1.114,1.028,1.03,1.034,1.103,1.02,187,6626,2250,36714,45424,180,6206,2179,36859,7600,20775,12207,6034,26393,20223,44932,292,152,134,23,1083,3479,2946,27,407,129,268,849,0,2564,2479,136,641,207,330,299,1,20,10,15,12,9,176,810,75,754,222,721,281,9253,3035,4011,1985,223,0,4,0,0,11,404,460,258,6,2,85.08,94.2,93.31,83.33,66.21,79.6,74,26.52,15.41,17.71,56.17,85.56,67.92,9.96,19.06,91.35,29.51,79.11,77.94,91.23,74.64,97.84,62.1,75.4,75.18,70.59,86.32,2.94,62.5,9.27,68.15,73.78,91.89,87.01,80.61
A60892,"Arizona Connected Care, LLC",Arizona,Renewal,2,04/01/2012,1,0,0,01/01/2016,1,0,0,0,0,7331,-0.232430295,0.033337337,-14473418,0,0,1,0.8776,0,8769,8465,62269929,76743347,,,0.5,0.4388,62939,7859,6660,7373,61475,8461,7601,7498,60960,8431,8132,7448,74272,10205,9811,9921,10808,0.983,1.078,0.769,0.977,0.996,1.097,0.757,0.996,0.954,1.078,0.827,0.987,0.96,1.126,0.742,1.029,88,842,396,5498,7101,95,780,385,5841,1126,3507,1932,766,3912,3419,6422,169,51,374,121,194,3809,3208,107,450,75,168,709,0,1928,3806,151,376,207,360,322,3,25,8,10,7,10,172,809,67,773,216,733,327,9912,3033,4483,1204,1191,0,39,0,0,0,181,62,112,1,0,72.22,90.02,88.6,80.88,59.84,75.45,72.55,23.35,15.12,17.88,50.78,81.03,68.75,6.87,13.11,82.88,95.93,67.17,49.57,62.46,77.01,83.08,56.02,50.58,65.04,67.77,70.39,3.13,31.09,25.27,37.09,69,81.37,79.31,65.91
A58483,Atlantic ACO,"New Jersey, Pennsylvania",Renewal,2,04/01/2012,1,0,0,01/01/2016,1,0,0,0,0,62759,0.005184274,0.02,3554662,0,0,1,0.9359,0,11216,10928,685662592,682107930,,,0.5,0.468,87450,10346,14979,9577,102065,10818,15750,9902,90477,10778,15668,9873,95946,10945,15599,10231,11158,1.006,1.081,1.033,1.044,1.04,1.113,1.061,1.075,1.059,1.076,1.043,1.044,1.026,1.058,1.046,1.068,369,5093,3102,48318,61130,417,5231,3210,52273,7082,28352,17833,9492,35969,26790,54673,3319,1491,761,20,2495,3607,3205,65,263,105,226,1227,0,1850,3935,98,413,192,306,284,2,13,8,13,7,5,176,829,97,583,235,718,263,11095,4274,6208,597,15,0,6,0,0,12,381,409,137,1,1,80.13,92.47,92.53,78.38,60.44,75.62,74.37,24.73,15.26,18.22,56.64,80.7,63.76,8.98,16.84,93.83,87.63,64,68.72,68.59,79.6,94.03,48.06,51.99,59.9,82.85,75.89,0,39.3,17.04,45.57,70.33,78.5,89.24,79.27
A61599,"Florida Physicians Trust, LLC",Florida,Renewal,2,04/01/2012,1,0,0,01/01/2016,1,0,0,0,0,6170,0.066647848,0.03565966,4469512,4469512,1981787,1,0.9049,266,11160,10972,67061614,62592102,,,0.5,0.4525,84688,9801,16338,9416,74453,9483,17520,9473,68654,10854,16129,9178,73543,10201,16054,9397,10416,1.063,1.184,1.228,1.167,1.096,1.289,1.221,1.172,1.03,1.28,1.191,1.173,1.101,1.271,1.318,1.166,50,621,330,4832,6009,53,621,335,5000,832,2581,1818,939,3635,2535,5243,524,56,159,4,184,2755,2562,29,129,38,402,774,0,1619,4064,95,626,268,311,296,1,7,6,10,10,5,175,835,67,610,229,916,390,12964,5702,5696,1557,8,0,0,0,0,0,28,10,11,0,0,79.59,91.25,90.36,85.08,55.2,71.7,71.15,28.41,14.62,17.97,46.41,63.45,49.34,9.65,9.9,40.74,99.38,57.09,77.88,72.15,81.82,98.03,53.14,65.25,65.48,77.1,84.89,0,51.25,9.52,53.92,80.16,82,96.97,93.94
A46707,"Premier ACO Physicians Network, LLC",California,Renewal,2,04/01/2012,1,0,0,01/01/2016,1,0,0,0,0,9018,-0.03845691,0.030981982,-4811778,0,0,1,0.8426,0,14329,14396,125121284,129933062,,,0.5,0.4213,94361,11563,16295,10958,100233,12058,16212,10815,92446,13311,19920,10883,97046,13843,18525,11343,14881,1.027,1.254,1.06,1.222,1.006,1.223,1.058,1.212,1.033,1.28,1.104,1.209,1.042,1.27,1.078,1.157,180,1103,1555,5989,8732,181,1177,1726,5647,1591,3661,2380,1386,5142,3876,5955,858,889,689,20,607,5036,4132,650,245,197,434,2170,0,1938,4513,198,1159,265,392,348,17,12,15,15,9,7,185,776,123,706,282,670,320,11534,5109,6214,204,7,0,0,0,0,0,122,81,15,0,0,79,92.05,90.26,85.66,59.96,75.14,70.99,24.66,14.77,18.72,61.41,73.32,60.36,9.47,17.22,73.58,28.33,38.67,59.46,58.43,51.89,58.1,20.85,45.78,65.48,71.89,58.25,0,11.65,44.18,15.26,61.45,61.03,79.17,83.66
A28708,"Advocate Physician Partners Accountable Care, Inc.",Illinois,Renewal,2,07/01/2012,1,0,0,01/01/2016,1,0,0,0,0,139617,0.039039128,0.02,60680999,60680999,28924272,1,0.9728,75,11442,11270,1554363576,1493682577,,,0.5,0.4864,86267,10857,18539,9549,87819,10875,21131,9404,83681,10596,19177,9800,82111,10624,17795,9764,10995,1.048,1.153,1.068,1.056,1.035,1.14,1.116,1.049,1.027,1.1,1.073,1.054,1.012,1.083,1.056,1.058,1307,13682,6643,112804,135850,1323,13605,7453,113469,18744,64497,38494,17882,81226,58391,112135,17396,2656,2638,67,4725,3479,3070,77,289,81,256,1133,0,1881,3588,131,683,210,351,326,2,15,9,12,13,7,179,820,100,654,252,754,292,9914,4556,4455,883,19,1,10,0,0,19,1305,1007,338,5,14,84.37,93.73,92.91,84.7,65.52,77.33,73.66,26.57,14.54,18.54,60.26,84.29,67.52,13.39,13.34,86.38,95.73,69.65,62.54,61.32,81.13,97.85,81.15,64.57,67.65,83.15,81.44,9.09,49.49,12.5,53.72,75.7,84.59,78.57,82.35
A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",New York,Renewal,2,04/01/2012,1,0,0,01/01/2016,0,0,1,0,0,21136,-0.032956853,0.005,-6330283,-6330283,-2532113,1,0.9635,58,9293,9083,192077909,198408192,,,0.75,0.7226,68364,7053,11190,7977,70728,7381,10801,7945,76852,7689,10878,8542,82725,8414,12626,8719,9599,1.016,1.006,0.993,1.151,1.031,0.987,0.944,1.144,1.046,1,0.959,1.149,1.083,1.043,1.01,1.177,190,4163,1373,14935,20670,189,4058,1394,15029,4285,8125,5467,3259,11671,9465,19056,1308,120,84,42,526,3060,2856,35,147,55,176,888,0,1727,3066,95,593,222,297,284,1,7,6,14,11,8,173,825,83,687,223,828,269,9579,3615,3938,2014,12,0,0,0,0,10,378,735,232,8,0,81.61,93.09,91.7,81.23,65.13,76.01,72.69,21.13,14.42,18.36,49,75.93,57.79,8.77,15.33,82.19,64.19,82.05,60.1,73.29,61.24,90.72,57.1,49.51,63.94,37.6,78.21,1.45,46.41,23.54,53.59,70.68,85.57,89.62,76.38
