ACO_Num,ACO_NAME,Start_Date,Track2,Adv_Pay,Int_Pmt,Adv_Pay_Amt,QualScore,QualPerfShare,FinalShareRate,MinLossPerc,MinSavPerc,ABtotBnchmk,ABtotExp,BnchmkMinExp,EarnShrSavings,OweLosses,N_AB,N_AB_Year,N_AB_Year_ESRD,N_AB_Year_DIS,N_AB_Year_AGED_Dual,N_AB_Year_AGED_NonDual,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,Per_Capita_Exp_ALL_ESRD,Per_Capita_Exp_ALL_DIS,Per_Capita_Exp_ALL_AGDU,Per_Capita_Exp_ALL_AGND,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY
A67373,"Palm Beach Accountable Care Organization, LLC",7/1/2012,0,0,0,,1,0.5,0.5,,0.023373146,613084880.4,573516045.5,39568834.84,19388729.07,,36268,29883.83333,305.75,2127.916667,1378.5,26071.66667,3178,11716,10013,5897,17789,13015,27497,2080,185,554,12,476,82799.14336,13120.67476,15800.90072,11745.7869,3156.304798,2842.972901,147.2146904,149.1016321,58.72939542,516.3773179,1032.939153,0,5588.211666,129.3306783,926.7895134,276.5202967,342.6936526,321.2439279,4.149400735,8.164949834,9.135374199,13.45208948,9.269225836,8.800745107,164.3737166,797.3305955,96.77473327,662.7998416,268.2052169,878.3344395,405.6373848,14776.18333,5253.676737,8814.096808,698.0697479,10.34003893,0,0,0,0,0,118,167,44,0,0,1.075728483,1.293688429,1.086807198,1.211796784,1.034869463,1.31134347,1.11380737,1.229291372,1.048887739,1.297514161,1.132787432,1.229119507,1.043975796,1.304745943,1.094836516,1.212689089
A38665,"Chinese Community Accountable Care Organization, Inc.",4/1/2012,0,0,1,,1,0.5,0.5,,0.02769974,192513845.3,189064664.7,3449180.608,0,,13833,11344.25,154.4166667,789.4166667,8256,2144.416667,1129,4160,4393,1957,7067,4572,834,234,8922,102,2,1545,73702.1589,9429.759354,8563.439329,9711.354768,2514.033541,2328.350249,24.14753832,76.45969614,85.70530028,174.9175001,663.004235,0,4739.108833,112.0305827,493.1805922,231.6860352,232.0999625,223.6375256,0.881503846,4.05491769,3.526015382,5.99422615,7.492782687,8.197985764,150.9666804,831.3451255,42.84108689,318.399189,172.598453,545.4745796,274.5002975,15622.0993,9401.238513,6059.281134,122.3527338,39.22692113,0,0,0,0,0,91,164,15,0,0,1.04531661,1.171321272,0.880507813,1.136598777,1.017386864,1.205016653,0.862572572,1.206102511,1.027215634,1.150872775,0.881515075,1.218909482,0.987706372,1.132167694,0.899801048,1.201790619
A64796,Summit Health Solutions,7/1/2012,0,0,1,,1,0.5,0.5,,0.022940431,423018269.9,432205624.5,-9187354.555,0,,40595,36254,232.8333333,3974.333333,1113.333333,30933.5,5508,16680,10728,4420,21051,16285,35819,978,72,32,21,414,68343.36183,7552.378392,13412.86742,7465.685547,2222.711177,2002.834601,82.40183773,101.6653959,60.85833345,238.70432,645.8115622,0,2924.423061,171.8334313,470.1409381,302.8147201,282.2309262,264.6328681,2.758316324,6.316544381,8.52319744,11.99867601,6.56479285,11.86076019,130.6160742,792.8698009,75.71578309,624.5655652,192.0339825,678.7940641,257.1302477,10056.24207,4590.886523,4042.809069,1406.217245,16.32923264,0,0,0,0,11,255,200,140,2,1,1.029810535,1.081841478,1.016175388,0.96558187,1.054838215,1.049889959,1.04612473,0.971013231,1.032752253,1.048790661,1.088708192,0.966634394,1.005642996,1.068673905,1.096389303,0.986912493
A84830,"South Florida Accountable Care Organization,LLC",1/1/2013,0,0,,,1,0.5,0.5,,0.0356997,113937019.3,108262083.1,"5,674,936",2780718.753,,6150,5958.166667,111.25,683.5,1724.333333,3439.083333,903,2195,2007,1045,3636,2514,4342,471,30,1191,5,111,84785.70076,16360.81921,22528.31727,14190.03869,5811.681523,4900.198686,492.430987,485.1408994,63.61646758,475.6766989,2011.975487,0.736772817,5140.28981,221.7412479,3000.091222,371.0265082,580.044197,532.0428544,14.09829646,23.83283449,9.902374892,27.3574086,33.39953565,14.76964391,195.5855304,761.4960147,169.8509049,964.2227755,470.1110521,1098.156592,426.6413047,13112.59056,5543.483734,6996.111779,544.630619,28.36442977,0,0,0,0,0,37,45,3,0,0,0.99298527,1.496701169,1.260627207,1.249206952,1.039877355,1.591468558,1.28156481,1.286969746,1.027924472,1.56266544,1.290684752,1.332055993,1.074089001,1.54127366,1.261080153,1.379420006
A76261,"Hackensack Physician-Hospital Alliance ACO, LLC",4/1/2012,0,0,0,,1,0.5,0.5,,0.026446689,279469265.2,268721596.7,10747668.51,5266357.57,,16383,13527.5,65.58333333,882.1666667,589.3333333,11990.41667,1399,6106,4282,2124,8328,5583,12479,598,142,295,5,392,137845.3001,12233.7332,24284.40463,11031.1666,4046.902362,3544.3685,78.81918137,345.0080332,126.2546137,189.824392,1866.398612,0,4357.421335,160.0921914,543.2686159,221.5513194,323.5631122,293.771946,2.587322122,18.70264277,8.501201257,10.9406764,7.540195897,7.540195897,159.5796676,824.7800587,134.2450564,555.9785622,243.5778969,800.4435409,289.1886897,12513.99002,4770.948069,7212.271299,526.9266309,3.844021438,0,1,0,0,0,147,377,76,4,0,1.075504007,1.19566877,1.23201305,1.072875101,1.056906297,1.149624772,1.206763823,1.083118763,1.093845421,1.16257495,1.262306402,1.061699955,1.111110211,1.073841377,1.202390191,1.040681177
A39692,"Primary Partners, LLC",4/1/2012,0,1,0,1741260,1,0.5,0.5,,0.031972973,107079178.5,107646159.4,-566980.9093,0,,8027,6808.333333,58.75,659,339.1666667,5751.416667,947,3334,2011,705,3981,3016,6051,499,50,237,11,149,76049.61267,10325.12901,11042.74098,8295.409795,2583.580388,2413.068945,75.9022661,73.14170707,47.79990268,195.6978626,569.5201984,0,3707.755374,90.26724713,545.2166531,312.3241678,308.7392901,295.0795594,2.3500612,3.818849449,7.490820073,14.83476132,11.30966952,8.225214198,144.2885772,798.0961924,55.81395349,652.876377,222.9620563,686.3647491,303.0110159,11877.06242,5628.984088,5735.911873,478.0905753,34.07588739,0,0,0,0,0,21,3,3,0,0,1.040412476,1.138984649,1.016388128,0.988509768,1.118432208,1.18817498,1.066740302,0.99234235,1.054166252,1.146418401,0.989569484,1.012442354,1.026103317,1.176902813,1.076916428,1.041109377
A38596,Concord Elliot ACO LLC,7/1/2012,0,0,0,,1,0.5,0.5,,0.028826765,140541043.7,143035665.2,-2494621.509,0,,11955,10346.33333,33,1788,209.6666667,8315.666667,2179,4308,2736,1441,5866,4798,10445,35,20,16,3,145,89576.18847,8747.692584,12824.94792,8974.240563,3048.854187,2492.730501,7.487562787,413.8135099,153.1830586,341.4638534,864.77035,1.99640339,2180.654045,142.8832796,773.0773679,237.342114,292.4707626,261.0586681,0.289957795,18.17068849,12.85479558,16.81755211,12.37153259,11.40500661,130.2158273,782.733813,71.03965978,833.6286607,215.7285995,547.1503592,220.657882,8268.919746,3165.855859,3049.679436,2042.366056,11.01839621,0,0,0,0,2,303,321,143,0,0,1.01533035,0.969720043,0.91199329,0.998270932,1.008278878,0.947600864,0.972865541,0.989631511,1.020278709,0.956186662,0.894235686,0.983233201,1.052900067,0.959358542,0.949397501,0.98400434
A60892,"Arizona Connected Care, LLC",4/1/2012,0,0,0,,1,0.5,0.5,,0.0314004,112244441,117756625.8,-5512184.778,0,,8599,6587.5,106.8333333,994.25,323.0833333,5163.333333,1436,3058,1658,707,3734,3125,5927,207,48,375,149,153,72471.92792,8651.76987,6658.641953,9736.918255,3768.823889,2861.886542,198.7955732,701.7878203,82.1397424,174.2627335,907.9496143,0,3539.915104,136.8054118,413.985025,222.9323779,351.4231499,286.6034156,5.464895636,44.0227704,15.33206831,10.01897533,7.438330171,9.108159393,160.5351171,756.3306259,89.71537002,708.3111955,240.6072106,705.1233397,322.5806452,10417.60911,3565.996205,4590.512334,894.4212524,1366.679317,0,23,0,0,0,194,228,122,0,0,1.014898319,1.048580084,0.823029105,1.027315827,0.987744329,1.085161323,0.833382147,1.006035003,1.001473197,1.069864658,0.748897926,1.018364445,0.987341109,1.145455428,0.785404849,1.057566252
A58483,"AHS ACO, LLC",4/1/2012,0,0,0,,1,0.5,0.5,,0.02,1114417958,1145132068,-30714109.91,0,,73694,57340.33333,458.75,4603.75,2256.916667,50020.91667,7170,26160,17436,8800,33702,25864,54125,2501,881,511,17,1531,94252.50353,11485.82158,18521.70303,10770.78464,3774.144763,3357.672029,92.33865828,277.5025354,90.77024087,304.4456595,1430.008648,0,4274.118179,174.3327982,423.3583463,250.465263,333.9664842,309.0279948,2.336893414,15.34676272,7.254833286,14.1259975,8.737191048,8.283763968,158.9244787,808.0943597,115.6587845,585.6882718,262.6040375,763.5188848,266.7023208,11284.78854,4012.289037,6768.881532,500.1126301,3.505340121,0,0,0,0,0,432,940,135,9,3,1.031612066,1.131907018,1.194288443,1.071226085,1.056483709,1.10207377,1.133533706,1.073217404,1.023806247,1.097213013,1.113864755,1.061589905,1.041454023,1.099921978,1.148486629,1.065446618
A61599,"Florida Physicians Trust, LLC",4/1/2012,0,0,0,,0,0.5,0,,0.030215215,133909340.4,135681373.5,-1772033.042,0,,9784,7749.166667,52.08333333,649.75,516.25,6531.083333,931,3235,2462,1312,4599,3341,7014,330,45,386,7,158,69238.28017,11017.32037,13096.31507,9552.149897,2745.971004,2426.703402,49.66706395,219.8637973,65.50866123,160.9852459,364.9927314,1.707045419,4456.758165,91.7426095,1098.354709,284.7851516,319.3891816,294.3542316,1.419507474,13.42079794,10.06559845,13.80793634,12.517475,9.03322938,142.3655914,775.9139785,37.93956339,603.4197226,239.5096247,760.0817292,364.2972363,12572.06151,4387.955694,7785.611356,387.2674481,11.22701366,0,0,0,0,0,54,40,10,0,0,1.045761056,1.113358146,0.979173407,1.178698214,0.989706036,1.182008646,1.073665514,1.170663329,1.003017312,1.25274353,1.052390707,1.166056215,1.020090169,1.25728152,1.039961056,1.215307893
