ACO_Num,ACO_Name,ACO_State,Start_Date,Track1,Track2,Adv_Pay,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,QualScore,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,CHF_ADM,COPD_ADM,PNEU_ADM,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS
A67373,"Palm Beach Accountable Care Organization, LLC",Florida,7/1/2012,1,0,0,34601,7.135345566,2.353985133,32173449,32173449,14455933,0.916964286,13389,13375,450902466,418729017,,,0.5,0.458482143,92004,13364,17803,11923,93369,14388,18077,12464,93055,13347,18192,12193,84208,12524,15065,11610,12434,1.07148879,1.256641513,1.058682184,1.21118358,1.040782096,1.275261232,1.08942832,1.224053918,1.055826923,1.248561037,1.095877192,1.226609022,1.050443566,1.204770153,1.039903987,1.22305818,260.1666667,2133.166667,1343.583333,29481.91667,33676.33333,294.3333333,2045.833333,1306.416667,30029.75,3077,13165,11565,6794,20074,14527,31248,1956,198,571,12,616,3016,2707,121,175,53,367,969,1,1630,5574,122,894,231,338.279108,317.9087193,3.325777747,9.561611023,7.453305487,13.09524988,7.928416593,8.017499926,175.3653445,825.782881,89.38027695,647.5170496,260.4796643,868.8891308,415.6925239,14814.26125,5145.037564,8911.748112,735.1453543,22.33022202,0,0,0,0,0,104,181,35,0,0
A38665,"Chinese Community Accountable Care Organization, Inc.","New York,  New Jersey",4/1/2012,1,0,0,11219,1.405643597,2.926845369,1495426,0,0,0.865848214,9731,9675,106387253,104891827,,,0.5,0.432924107,74266,7798,7735,7182,76243,9402,7815,9784,75103,9395,8651,11131,74115,10303,8425,8702,9594,1.046141935,1.150830475,0.878427808,1.121989798,1.017326141,1.183001207,0.858746605,1.193439507,1.023501404,1.151693134,0.877596751,1.216611169,0.943622505,1.161062284,0.880979093,1.129612086,139,862.5,8222.083333,2030.583333,10933.25,163.8333333,768.5,7934.416667,2066.5,1120,4082,4230,1787,6782,4437,638,198,8769,90,3,1521,2492,2350,16,79,57,122,689,0,1217,4729,94,354,182,210.5503853,202.7759358,0.914641118,3.750028583,3.1097798,6.036631377,5.396382594,6.676880159,169.0363349,836.7561875,39.14663984,324.057348,168.568358,530.0345277,272.6545172,14983.55933,8687.3528,6080.442686,188.0502138,27.71362587,0,0,0,0,0,91,190,21,0,0
A64796,Summit Health Solutions,Tennessee,7/1/2012,1,0,0,37174,-3.614030326,2.328254275,-10458722,0,0,0.931361607,8016,7918,289392197,299850919,,,0.5,0.465680804,69840,7402,11520,7320,72695,7036,12456,7583,71440,7181,12404,7142,69253,7539,13017,7778,8305,1.029810535,1.081841478,1.016175388,0.96558187,1.054838215,1.049889959,1.04612473,0.971013231,1.032752253,1.048790661,1.088708192,0.966634394,1.010124328,1.058162314,1.12717734,0.985893501,210.3333333,3860.25,1135.833333,29384.41667,36103.41667,231.8333333,3850.25,1091.75,30929.58333,5364,16886,10524,4400,20915,16259,35572,968,84,36,19,495,2253,2027,87,98,51,214,639,0,1464,3056,159,472,285,288.2275685,271.6640392,2.769820954,5.899718632,7.86629151,12.29800504,6.924552385,9.722071549,151.4906402,811.3011324,75.53301742,627.5583336,193.4442954,700.0722462,261.0279267,10253.07392,4507.135751,3842.988083,1884.309195,18.64089502,0,0,2,0,26,249,208,157,2,1
A84830,"South Florida Accountable Care Organization,LLC",Florida,1/1/2013,1,0,0,6850,4.924313265,3.42982983,6277693,6277693,2684351,0.87265625,19214,19148,127483618,121205925,,,0.5,0.436328125,86648,16406,21845,13300,83293,19008,24344,14324,87877,17103,22909,14474,80953,17245,21779,14496,18267,0.987828646,1.471375616,1.241266617,1.240268473,1.033937709,1.572446691,1.270861166,1.281482112,1.043088542,1.532472761,1.28235785,1.329101027,1.104367847,1.482727258,1.223340324,1.393355267,116.25,839.4166667,2367.416667,3549.833333,6635.083333,135.3333333,774.4166667,1908.833333,3816.5,1010,2453,2166,1221,4138,2712,4733,530,37,1439,8,103,5924,5039,351,512,132,471,2069,4,2067,5313,216,2659,343,650.3309428,593.361048,9.645696487,27.58066339,19.44210698,29.6906595,32.25279763,14.16711672,237.9358438,777.9637378,161.2639881,1038.118084,517.5519021,1185.817812,367.8928926,13106.54224,5686.439507,6769.62108,599.8417503,50.63990656,0,0,0,0,0,0,0,0,0,0
A76261,"Hackensack Physician-Hospital Alliance ACO, LLC","New Jersey,  New York",4/1/2012,1,0,0,15603,3.256117839,2.675875175,6464895,6464895,2832988,0.894308036,13099,13219,198546103,192081207,,,0.5,0.447154018,106720,12788,23178,11813,102508,12062,23358,12292,110785,12233,22230,11936,136774,13144,19050,11375,12672,1.061305167,1.185910689,1.27698463,1.096402316,1.051421503,1.164023633,1.210404025,1.106118886,1.086197436,1.159579721,1.277074071,1.085739528,1.143414101,1.100596441,1.183092501,1.088582134,78.41666667,864.9166667,412.5833333,9672.666667,15157.66667,93.08333333,1181.083333,769,13114.5,1731,6863,4638,2371,9298,6305,13796,649,202,409,8,539,4069,3550,87,328,163,176,1791,0,1947,4447,203,612,213,345.105887,313.4387439,2.57295538,17.61484837,11.47933939,13.19464298,6.927187562,8.312625074,198.4859238,829.9030045,119.0156796,592.571416,259.0768148,843.0057397,304.0045741,12210.38858,4549.512898,7052.998483,603.1271304,4.750071471,0,1,0,0,5,112,382,73,5,1
A39692,"Primary Partners, LLC",Florida,4/1/2012,1,0,1,7078,2.602546794,3.384384384,1660396,0,0,0.94375,9249,9030,63798902,62138506,1877416,0,0.5,0.471875,97721,9699,10392,7763,74309,9808,11353,8220,72543,8758,12119,8253,68343,10036,9791,8300,9008,1.027075351,1.148127783,0.98880508,0.996758079,1.124008943,1.190177826,1.047303583,1.005487963,1.060648303,1.138051004,0.994912729,1.018301024,0.988941228,1.163728432,0.9672733,1.061171883,43.41666667,603,266.4166667,5244.5,6898.166667,56.58333333,626.1666667,268.75,5946.666667,901,3460,2037,680,3996,3082,6108,484,53,222,16,195,2389,2280,28,68,30,146,471,0,1616,3750,81,450,314,283.118703,273.5509435,0.724830269,3.189253183,5.653676098,15.22143565,9.56775955,6.958370582,146.1214672,848.4666266,40.59049506,577.6897243,178.5981783,680.7605886,304.2837469,12309.50253,6013.481843,5753.992607,498.2483269,43.77974824,0,0,0,0,0,22,0,2,0,0
A38596,Concord Elliot ACO LLC,"New Hampshire,  Massachusetts,  Maine",7/1/2012,1,0,0,37590,-1.119975889,2.324094137,-4004102,0,0,0.935714286,9780,9748,357516836,361520938,,,0.5,0.467857143,71148,8568,12476,8557,80147,9066,14759,9107,81796,8831,13483,9602,82217,9205,13121,9552,9889,1.046246988,1.033312589,1.035650524,1.028566589,1.06246789,1.059120938,1.052075742,1.042103693,1.055690528,1.037177033,1.019920203,1.037452446,1.063015034,1.020764694,1.021445806,1.027417236,117,4588.333333,739.6666667,25285.83333,36556.75,154.25,5717.75,865.9166667,29818.83333,7026,16156,9564,4844,21651,15939,36406,231,132,110,21,690,3237,2717,34,386,130,300,878,0,2371,2421,142,622,227,315.1538362,282.1640326,0.930060796,20.5434017,11.4889863,13.62265519,9.546800523,9.27325323,157.1166505,819.3590159,76.89414404,768.7226025,217.6889357,650.7143004,262.5506917,9317.376408,3307.186771,4025.494608,1978.266668,6.428361383,0,0,0,0,6,302,313,149,0,0
A60892,"Arizona Connected Care, LLC",Arizona,4/1/2012,1,0,0,10166,-5.633821562,2.990038008,-5209779,0,0,0.896875,9454,9169,92473271,97683050,,,0.5,0.4484375,80395,9053,12904,9030,51380,7710,8306,7847,59972,7949,8309,8353,68617,8580,7168,9148,9986,0.991965653,1.050509173,0.829433752,1.003745235,0.968876462,1.061316836,0.838346062,0.969335068,0.993452663,1.057588499,0.749556738,0.980827521,0.97538603,1.137350107,0.807434183,1.030128812,127.6666667,1120.583333,450,6251.583333,9781.833333,166.5833333,1198.583333,517.75,7898.916667,1826,4669,2582,1089,5276,4890,8850,242,53,582,199,240,3456,2771,157,540,27,178,689,1,1806,3480,126,365,174,355.0459185,310.9846484,4.702594946,33.94046787,5.213746571,11.85871769,5.520437546,7.565044044,176.1006289,749.5375509,69.00546932,664.190421,227.6669336,690.6680752,311.4958,9572.540935,2930.227803,4527.985551,862.9261727,1251.401407,0,38,0,0,0,152,133,110,0,0
A58483,"AHS ACO, LLC","New Jersey,  Pennsylvania",4/1/2012,1,0,0,70550,-1.81595134,2,-12923109,0,0,0.876785714,10391,10236,711644016,724567125,,,0.5,0.438392857,97523,9863,17324,9633,104708,10001,16406,9593,104570,9773,15872,9228,103172,10330,15863,9697,10579,1.061890224,1.122992959,1.191235401,1.048163666,1.086367016,1.099905233,1.149688932,1.04449931,1.066035974,1.088195747,1.112326028,1.02601002,1.052770003,1.077898393,1.160573319,1.033294927,217.8333333,4359.25,2324.5,39539,68489.58333,421,5639.333333,2840.166667,59589.08333,8346,31766,20164,10274,40486,30064,64238,2606,1028,602,18,2058,3296,2915,77,232,117,252,1229,0,1728,3841,147,368,180,299.4323954,276.0711787,1.781292776,12.8486692,8.731254753,12.35224335,7.519391635,6.453536122,172.1668556,834.3975652,91.75117871,545.1339924,226.7352091,674.4821293,248.4319392,10731.95316,4167.086236,6032.479392,527.788289,4.599239544,0,0,0,0,8,418,839,149,9,3
A61599,"Florida Physicians Trust, LLC",Florida,4/1/2012,1,0,0,8638,6.67517811,3.136136136,6454259,6454259,2702318,0.854464286,11509,11226,96690440,90236181,,,0.5,0.427232143,82301,9646,14770,10749,71319,10846,12458,11010,65664,10383,13059,10528,81097,10126,14757,10043,10741,1.023899297,1.193901606,1.06520232,1.223946243,0.993602264,1.180720262,1.183714813,1.237229273,1.019474299,1.247582758,1.139731095,1.214336909,1.109982071,1.276202515,1.098333146,1.250319492,48.25,697.75,445.6666667,7112.833333,8401.333333,56.41666667,711.1666667,381.1666667,7252.583333,1008,3333,2612,1685,5096,3542,7646,507,55,239,11,180,2728,2415,70,202,58,337,704,0,1517,4367,105,988,247,328.0431678,307.8082844,1.666402158,10.83161403,7.736867164,15.11664815,10.35549913,9.99841295,172.7589208,809.3994778,62.37105221,634.7801936,246.7465482,764.0453896,361.8473258,12840.10475,4314.077131,7375.495953,1127.559118,22.97254404,0,0,0,0,0,18,12,8,0,0
