ACO_Num,ACO_Name,ACO_State,Start_Date,Track1,Track2,Adv_Pay,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,QualScore,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS
A67373,"Palm Beach Accountable Care Organization, LLC ",Florida ,7/1/2012,1,0,0,"60,845",9.48%,2.00%,"76,642,477","76,642,477","36,834,657",98.08%,"13,618","13,364","808,769,966","732,127,489",  ,  ,50.00%,49.04%,"92,889","13,516","21,542","11,571","90,003","13,196","20,326","11,983","92,813","13,704","21,657","12,016","82,632","12,802","17,158","11,475","12,328",1.053,1.252,1.180,1.197,1.035,1.260,1.167,1.211,1.055,1.292,1.184,1.217,1.049,1.243,1.191,1.216,369,3249,3322,47034,59389,410,3364,2993,52622,4894,24128,20319,11504,35022,25823,54832,2546,275,1912,26,1254,3011,2668,101,218,54,324,834,1,1587,5516,120,1001,242,330,308,3,12,8,13,12,9,177,815,76,645,253,884,441,14775,5182,8810,741,42,0,0,0,0,0,219,278,63,0,0
A38665,CCACO,"New Jersey, New York ",4/1/2012,1,0,0,"9,420",11.02%,3.06%,"10,317,715","10,317,715","4,358,226",86.20%,"10,223","9,577","93,668,605","83,350,890",  ,  ,50.00%,43.10%,"74,066","7,780","7,678","7,086","76,664","9,549","7,753","9,503","74,520","9,264","8,627","10,773","69,728","10,251","8,039","7,848","9,097",1.041,1.150,0.876,1.106,1.016,1.178,0.856,1.166,1.027,1.149,0.876,1.189,0.959,1.203,0.902,1.085,139,871,8380,2146,9162,140,664,6222,2136,958,3437,3455,1570,5644,3776,595,184,7114,89,2,1436,2201,2046,25,83,66,125,624,0,1268,4550,92,313,202,199,190,1,4,5,6,7,7,184,808,35,325,168,547,291,14455,8180,6092,155,28,0,0,0,0,0,91,175,21,0,0
A76261,Hackensack Alliance ACO,"New Jersey, New York ",4/1/2012,1,0,0,"23,156",10.96%,2.47%,"33,353,310","33,353,310","15,640,878",95.70%,"13,507","13,166","304,196,419","270,843,109",  ,  ,50.00%,47.85%,"110,736","12,847","21,220","11,822","103,867","12,003","21,575","12,257","108,533","12,396","19,791","11,902","103,683","11,692","17,289","10,686","12,026",1.077,1.185,1.237,1.106,1.053,1.148,1.183,1.113,1.084,1.157,1.214,1.089,1.103,1.097,1.129,1.061,85,954,518,10136,22522,162,1801,2014,18544,2541,10111,6767,3737,13843,9313,19463,1276,402,1087,16,912,3471,3117,71,214,111,194,1536,0,2052,4277,96,602,217,308,286,2,11,9,12,10,7,176,840,106,581,237,771,301,12195,4713,6891,589,3,0,0,0,0,6,132,426,94,5,1
A39692,"Primary Partners, LLC ",Florida ,4/1/2012,1,0,1,"6,965",6.59%,3.41%,"4,347,600","4,347,600","2,113,681",99.22%,"9,694","9,041","66,002,419","61,654,820","1,877,416","1,877,416",50.00%,49.61%,"101,266","9,883","9,988","7,724","72,372","9,981","11,820","8,179","73,233","8,834","11,354","8,285","84,863","9,360","10,845","8,170","9,055",1.042,1.148,0.966,0.991,1.127,1.193,1.051,0.991,1.065,1.140,0.987,1.010,1.028,1.244,1.018,1.128,42,581,244,5083,6809,61,580,237,5931,809,3383,2077,696,3941,3024,6004,479,59,201,19,203,2257,2073,84,86,28,153,420,0,1712,3888,79,443,278,256,244,2,5,5,14,9,6,147,848,40,587,179,706,307,12266,5836,5738,580,112,0,0,0,0,0,22,0,2,0,0
A38596,NH Accountable Care Partners,"Maine, Massachusetts, New Hampshire ",7/1/2012,1,0,0,"38,700",-0.08%,2.31%,"-323,268",0,0,89.84%,"10,096","9,748","380,402,092","380,725,360",  ,  ,50.00%,44.92%,"71,148","8,568","12,476","8,557","80,147","9,066","14,759","9,107","81,796","8,831","13,483","9,602","84,102","9,878","13,280","9,694","10,105",1.046,1.033,1.036,1.029,1.062,1.059,1.052,1.042,1.056,1.037,1.020,1.037,1.055,1.045,1.048,1.027,117,4588,740,25286,37677,152,5731,867,30927,6902,17120,9830,4848,22144,16556,37371,228,141,118,17,825,3301,2768,34,399,129,293,872,3,2396,2500,145,665,237,318,285,1,20,11,17,14,10,172,814,77,760,222,659,265,9198,3202,3964,2025,7,0,0,0,0,6,303,292,157,0,0
A60892,"Arizona Connected Care, LLC",Arizona ,4/1/2012,1,0,0,"6,956",8.34%,3.41%,"4,858,147","4,858,147","2,239,894",94.09%,"8,640","8,021","58,243,424","53,385,277",  ,  ,50.00%,47.05%,"86,988","8,956","13,201","9,431","54,788","7,040","6,796","7,036","61,968","7,021","6,522","7,250","63,914","8,184","5,861","7,170","7,920",1.014,1.044,0.814,0.999,0.998,1.048,0.809,0.954,0.979,1.032,0.708,0.972,0.997,1.097,0.754,0.991,64,957,355,4658,6741,83,745,331,5581,1127,3409,1729,691,3793,3163,6044,167,48,393,114,190,2322,1890,27,372,48,138,187,0,1627,3244,93,249,206,244,212,1,23,7,8,5,4,166,773,20,547,151,601,278,9036,2557,4203,931,1345,0,39,0,0,0,153,87,112,0,0
A58483,Atlantic ACO,"New Jersey, Pennsylvania ",4/1/2012,1,0,0,"86,189",3.85%,2.00%,"35,513,990","35,513,990","16,719,376",96.08%,"11,002","10,894","922,529,513","887,015,523",  ,  ,50.00%,48.04%,"100,308","10,061","16,638","10,053","110,028","10,350","16,862","10,254","109,264","10,027","16,357","9,846","88,217","10,368","15,817","9,812","10,578",1.069,1.098,1.171,1.065,1.090,1.104,1.139,1.067,1.065,1.083,1.104,1.039,1.067,1.051,1.095,1.015,173,3392,1959,28231,83853,478,7541,3764,72071,10280,39482,24131,12296,49489,36700,77148,3501,1604,959,29,2948,3243,2861,74,233,113,232,1161,0,1764,3830,91,377,196,288,266,2,12,9,13,9,6,163,832,88,551,215,700,262,10764,4169,5980,594,21,0,6,0,0,8,466,887,166,9,4
A61599,"Florida Physicians Trust, LLC ",Florida ,4/1/2012,1,0,0,"6,544",12.21%,3.49%,"9,112,343","9,112,343","3,928,946",87.99%,"11,731","11,017","74,648,154","65,535,811",  ,  ,50.00%,44.00%,"83,803","10,025","18,484","10,428","73,915","10,664","16,741","10,555","78,130","10,116","14,862","10,174","73,779","10,834","12,772","9,562","10,299",0.999,1.193,1.168,1.140,0.969,1.152,1.266,1.128,1.047,1.228,1.154,1.137,1.035,1.309,1.170,1.192,28,560,270,5272,6363,48,643,252,5420,883,2765,1913,983,3801,2743,5606,485,61,208,4,180,2536,2324,47,133,43,439,781,0,1742,3880,96,745,263,307,292,1,8,6,11,11,7,165,828,64,599,231,856,368,12379,4977,5701,1587,114,0,0,0,0,0,26,10,9,0,0
A46707,"Premier ACO Physicians Network, LLC ",California ,4/1/2012,1,0,0,"8,835",-2.25%,3.12%,"-2,606,456",0,0,83.41%,"13,560","13,342","115,774,483","118,380,938",  ,  ,50.00%,41.71%,"87,926","11,497","13,111","10,934","89,994","12,582","13,637","11,121","86,725","12,413","14,280","11,496","95,304","13,413","16,521","11,303","13,865",1.046,1.353,1.069,1.244,1.062,1.409,1.086,1.220,1.017,1.335,1.118,1.238,1.024,1.292,1.120,1.206,155,1643,1977,6209,8538,165,1137,1085,6151,1553,3579,2386,1317,5038,3797,6261,823,587,563,16,585,4778,3761,811,310,105,269,1844,1,1984,4641,231,904,236,380,334,21,14,10,14,10,8,184,771,104,687,270,638,332,11300,4501,6601,191,6,0,0,0,0,0,125,98,7,0,0
A28708,"Advocate Physician Partners Accountable Care, Inc. ",Illinois ,7/1/2012,1,0,0,"149,633",4.26%,2.00%,"72,667,885","72,667,885","33,537,591",94.19%,"11,729","11,719","1,704,960,610","1,632,292,725",  ,  ,50.00%,47.09%,"90,832","10,200","17,424","9,855","91,411","10,519","18,065","10,322","92,909","10,687","17,646","10,388","84,680","10,739","15,903","10,329","11,229",1.057,1.130,1.070,1.048,1.047,1.136,1.058,1.051,1.051,1.138,1.073,1.059,1.028,1.099,1.071,1.051,1420,15062,5228,106344,145365,1410,14635,3584,125736,20116,67730,42053,19734,86917,62716,122039,18048,2468,2547,70,4461,3530,3104,121,285,83,259,1332,0,1826,3556,139,794,214,367,340,3,15,9,15,12,8,182,818,111,645,264,729,287,9759,4437,4420,880,22,1,10,0,0,19,1093,1206,302,3,21
